store,lat,long,gpsens,trsens,traffic,sales,gp,avgprice,yoysales,yoyq,yoygp,yoyavgp,yoygc
ENDEAVOUR HILLS,-37.976822,145.256995,right,sensitive,1533,13693.58788,10206.84949,3.681,-0.0095,0.036879718,-0.0279,-0.0447,-0.02120944
ENFIELD,-33.887587,151.072206,right,sensitive,1837,17019.48838,12690.22511,3.58,0.0532,0.192005374,0.0342,-0.1164,-0.033598457
ENFIELD,-34.861853,138.602463,right,sensitive,1659,16692.28973,12346.72765,3.6223,-0.1224,0.018782777,-0.1438,-0.1385,-0.205290094
ENGADINE,-34.066499,151.015261,right,not sensitive,1811,17483.72322,13061.59714,3.5335,0.0332,0.129621431,0.01,-0.0853,-0.047775288
EPPING PLAZA,-37.655995,145.018183,high,sensitive,733,7117.793676,5154.378808,3.4134,-0.0967,-0.030842766,-0.1156,-0.0679,-0.152076365
EPPING,-37.661385,145.018372,low,not sensitive,2104,18693.92899,13877.15639,3.7179,0.0279,0.088694433,0.0145,-0.0559,0.05683711
EPSOM,-36.722483,144.312695,right,sensitive,1846,18417.30498,13592.13697,3.8222,0.0582,0.160069139,0.0363,-0.0879,-0.01658074
ERINA FAIR II,-33.437576,151.393857,low,sensitive,840,8936.307684,6688.275832,3.2348,-0.0661,-0.015903372,-0.081,-0.051,-0.151451643
ERINA,-33.435285,151.396051,right,not sensitive,2579,25067.86108,18798.09844,3.5486,-0.0629,-0.00916615,-0.0774,-0.0542,-0.119903271
ERINDALE ACT,-35.404972,149.097965,right,sensitive,1420,15417.77646,11412.60002,3.6497,-0.0033,0.128452927,-0.0201,-0.1168,-0.178199699
ESPERANCE,-33.861998,121.893295,low,not sensitive,1521,16930.36963,12814.0623,4.016,0.0398,0.085127423,0.0223,-0.0418,0.049252804
EUROA,-36.754884,145.602013,high,sensitive,1358,12178.95759,9123.878296,3.9955,0.3414,0.265442774,0.3328,0.06,0.327967188
F3 NORTH (WYONG NTH),-33.255228,151.402694,high,sensitive,4535,41816.92948,31365.34632,3.7589,0.0602,0.141495752,0.0353,-0.0712,-0.070039072
