store,lat,long,gpsens,trsens,traffic,sales,gp,avgprice,yoysales,yoyq,yoygp,yoyavgp,yoygc
MOUNT BARKER,-35.069697,138.857478,right,sensitive,2115,21933.24204,16168.83054,3.6518,0.043,0.165549291,0.0199,-0.1052,0.010772635
MOUNT DRUITT F/C,-33.769002,150.818267,high,sensitive,912,9472.537944,6959.743736,2.907,0,0.094388829,-0.0091,-0.0863,-0.149179123
MOUNT DRUITT,-33.766495,150.825284,high,sensitive,1372,15397.46301,11523.12452,3.418,0.0717,0.209438519,0.0537,-0.1139,-0.026222602
MOUNT GAMBIER,-37.824616,140.781782,right,not sensitive,2791,28385.45434,21053.29247,3.6552,0.0548,0.060970773,0.0453,-0.0059,-0.071792737
MOUNT GRAVATT,-27.556003,153.080439,right,insufficient,1891,18630.96625,13844.7136,3.5793,0.0354,0.115093046,0.0086,-0.0715,-0.008062872
MOUNT ISA,-20.723993,139.494499,right,sensitive,2512,28391.8884,21631.95669,3.9204,-0.0615,0.029352902,-0.0817,-0.0882,-0.131371231
MOUNT OMMANEY FOOD COURT II,-27.549028,152.939524,right,sensitive,591,7696.537576,5634.286464,3.013,-0.0822,0.094719271,-0.1138,-0.1616,-0.278331623
MOUNTVERLEY,-37.887741,145.144019,low,not sensitive,1424,12431.2884,9152.679912,3.5443,0.0298,0.074586633,0.0181,-0.0416,-0.001910828
MT COLAH,-33.67834,151.111391,insufficient,sensitive,1402,12996.43384,9668.45318,3.5321,0.073,0.159832934,0.0541,-0.0749,-0.039236032
MUDGEE,-32.599688,149.587421,high,sensitive,1514,15098.2868,11299.04528,3.5468,0.141,0.2723467,0.1168,-0.1032,0.020548387
MULGRAVE,-37.92004,145.157346,low,not sensitive,1880,16909.48204,12581.30312,3.7043,0.0217,0.153020983,0.0043,-0.1139,-0.061960983
MUNNO PARA,-34.666602,138.669035,right,not sensitive,1756,17709.7843,12949.75638,3.5941,-0.0822,0.056799508,-0.0997,-0.1316,-0.107309564
MURRAY BRIDGE,-35.127804,139.25947,right,not sensitive,2031,20254.9657,14908.33108,3.769,0.0166,0.125352688,-0.0032,-0.0967,-0.012396095
MURRUMBA DOWNS,-27.265311,153.006482,high,sensitive,1198,11963.44107,8878.295088,3.476,0.2493,0.375273855,0.2188,-0.0916,0.215623304
MURWILLUMBAH,-28.328036,153.407081,high,sensitive,1204,11543.26547,8541.75058,3.3234,-0.1095,0.029644566,-0.1351,-0.1352,-0.127137288
MUSWELLBROOK,-32.268393,150.907122,low,not sensitive,2156,21042.95427,15777.99499,3.7809,0.0199,0.076747293,0.0044,-0.0528,-0.086263212
MYER CENTRE,-27.47097,153.024818,right,not sensitive,729,7873.730188,5955.310684,3.4312,-0.0105,0.004136485,-0.0209,-0.0146,-0.216141356
MYER II,-27.47054,153.025711,low,not sensitive,750,7291.520848,5563.030512,3.1556,0.1284,0.09392456,0.1114,0.0315,0.000453566
NAMBOUR,-26.625217,152.95877,right,not sensitive,2063,21177.62824,15675.36119,3.3325,0.015,0.138106493,-0.0136,-0.1082,-0.061609558
NAMBUCCA HEADS,-30.653721,152.989939,right,sensitive,2085,19512.19641,14494.28417,3.594,0.1071,0.191745997,0.0884,-0.071,0.05631489
NARACOORTE,-36.955734,140.746434,right,not sensitive,1034,10229.31732,7520.651328,3.7816,-0.0134,0.043673207,-0.0303,-0.0547,-0.039279449
NARELLAN,-34.039303,150.74166,high,sensitive,1797,17234.18813,12864.33562,3.4795,0.0504,0.140075777,0.0278,-0.0787,-0.059101832
NARELLAN TOWN CENTRE II,-34.042202,150.737214,right,sensitive,492,5497.336028,4004.212852,2.9837,0.0184,0.212242376,-0.0142,-0.1599,-0.056295763
NARRABRI,-30.329549,149.772223,right,sensitive,1349,13561.47436,10162.79752,3.531,-0.0331,0.110091743,-0.058,-0.129,-0.090787576
NEETA CITY II,-33.869898,150.955675,low,not sensitive,575,6593.208416,4845.722188,2.8247,-0.0423,0.089621747,-0.058,-0.1211,-0.185510761
NERANG,-28.008015,153.34209,right,not sensitive,2775,25799.8665,19003.58124,3.3204,0.0191,0.2072696,-0.0231,-0.1559,0.029389702
NEW NORFOLK TAS,-42.782728,147.063274,high,sensitive,827,8363.200524,6089.809632,3.4016,0.0404,0.126051147,0.0191,-0.0761,0.004029758
NEWCOMB,-38.175532,144.400392,right,not sensitive,1855,16143.03693,11886.85245,3.5637,-0.004,0.013364499,-0.0194,-0.0171,-0.011671102
NEWMARKET II,-27.434184,153.003694,right,not sensitive,2033,19653.93086,14644.70179,3.5814,0.0732,0.132859596,0.0645,-0.0527,-0.032886777
NIDDRIE,-37.743904,144.903954,right,sensitive,2158,19111.90824,14330.61458,3.6819,0.0352,0.103164787,0.0159,-0.0616,0.048772806
NOARLUNGA,-35.140148,138.485016,high,sensitive,1721,16873.42098,12322.47525,3.3314,0.0222,0.143797947,-0.0013,-0.1063,-0.067213412
NOBLE PARK,-37.963059,145.187664,right,not sensitive,2209,19504.84758,14328.73435,3.7133,-0.0064,0.05071573,-0.0261,-0.0544,-0.092934361
NOOSAVILLE,-26.401395,153.062267,right,not sensitive,2317,24046.13535,17991.90728,3.4672,0.0145,0.085644887,-0.0085,-0.0655,0.002661807
NORTH HOBART TAS,-42.878731,147.326381,right,not sensitive,1776,15657.90067,11601.33403,3.747,0.0879,0.129542258,0.0772,-0.0369,0.07766935
NORTH LAKES,-27.241504,153.023761,high,sensitive,1675,17690.78536,13121.05002,3.5078,0.1117,0.206242592,0.0852,-0.0784,0.086501279
NORTH LAKES WESTFIELD,-27.241723,153.017422,right,sensitive,469,5725.89716,4212.401592,3.0802,-0.0551,0.031946356,-0.0879,-0.0844,-0.07660565
NORTH PERTH,-31.928634,115.851071,high,sensitive,1566,14545.67904,10863.97349,3.663,-0.0049,0.098192843,-0.0256,-0.0939,-0.008526603
NORTH RYDE,-33.785001,151.129517,right,not sensitive,1561,14596.29459,10912.85479,3.9611,-0.0569,0.024207736,-0.0789,-0.0792,-0.136786257
NORTHRD,-19.251937,146.813816,right,not sensitive,1303,13197.3783,9874.734608,3.3795,0.0514,0.190225959,0.0206,-0.1166,0.02731371
NORTHAM,-31.649298,116.673978,right,sensitive,953,10533.41599,7807.375224,3.8976,0.0391,0.17415198,0.014,-0.1151,-0.023152666
NORTHBRIDGE,-31.946504,115.864772,right,not sensitive,1589,15034.48364,11290.74728,3.8929,0.1378,0.198324223,0.118,-0.0505,0.131436111
NORTHGATE TAS,-42.834008,147.271432,low,not sensitive,546,4989.143376,3715.438292,3.2108,-0.1331,-0.106686282,-0.1401,-0.0296,-0.19294152
NORTHLAND SHOPPING CENTRE II,-37.739467,145.030444,right,sensitive,483,5710.365528,4254.511524,3.0383,-0.1164,0.016182854,-0.1306,-0.1305,-0.17470347
NORTHLAND,-37.742471,145.027686,right,not sensitive,1637,14697.14977,10991.43337,3.5243,0.0153,0.14126825,-0.0011,-0.1104,-0.020838345
NORTHMEAD,-33.77578,151.000216,right,sensitive,1444,13443.85104,10000.73078,3.587,0.0533,0.137651874,0.037,-0.0742,-0.006761809
NORWEST MARKETOWN,-33.7333,150.9625,low,sensitive,493,5346.41902,4001.303848,3.4113,0.0634,0.214850653,0.0496,-0.1247,-0.018457127
NORWEST,-33.73173,150.943711,high,sensitive,2132,19898.14822,14770.26334,3.6445,0.1748,0.235540279,0.1639,-0.0491,0.145272904
NOWRA,-34.899779,150.601478,high,sensitive,4353,42927.05108,32077.18334,3.7231,0.0532,0.151020364,0.0293,-0.085,-0.046893719
NUDGEE SERVICE CENTRE,-27.377527,153.093849,low,not sensitive,1698,16439.50723,12338.50584,3.424,-0.0677,0.043077616,-0.0975,-0.1062,-0.147127754
NUNAWADING II,-37.819764,145.174975,high,sensitive,2004,17374.09665,12874.51388,3.5307,0.046,0.144147209,0.033,-0.0858,0.000805764
OAK PARK,-37.722799,144.920154,right,sensitive,1702,14776.12037,10889.69384,3.4794,0.049,0.131596193,0.0293,-0.073,0.047502186
OAKLEIGH,-37.909556,145.073252,right,not sensitive,1039,9339.978468,6928.625,3.6018,-0.0335,0.076253855,-0.0544,-0.102,-0.087810285
O'CONNOR,-32.065083,115.801116,high,sensitive,1948,20565.37122,15505.9292,3.9156,0.0189,0.142377075,0.0007,-0.1081,-0.033216944
OLYMPIC BOULEVARD,-33.848867,151.064749,low,not sensitive,866,9657.772752,7148.091532,3.4123,-0.1492,0.062552113,-0.1772,-0.1993,-0.208263589
ORANGE,-33.292395,149.111626,low,not sensitive,2474,24788.00326,18394.20774,3.6624,-0.2381,-0.141890543,-0.2535,-0.112,-0.317686859
ORMEAU,-27.764605,153.24436,right,sensitive,1346,13425.27514,9843.05376,3.4138,0.0194,0.136199801,-0.0115,-0.1028,-0.046107845
ORMOND,-37.90608,145.043403,high,sensitive,1361,12335.01696,9131.875528,3.5377,0.0189,0.142060687,-0.0045,-0.1078,-0.047014635
OXENFORD,-27.890223,153.312607,high,sensitive,1759,17875.56114,13205.42196,3.321,0.0983,0.243303244,0.0702,-0.1166,-0.003279259
OXLEY,-27.56656,152.984171,low,not sensitive,1768,18171.8586,13416.32387,3.5244,0.0101,0.151413085,-0.017,-0.1228,-0.114344488
PACIFIC FAIR,-28.036539,153.429021,right,sensitive,588,7168.254448,5305.529268,2.7351,0.0346,0.259419727,-0.0022,-0.1785,-0.143246793
PACIFIC PINES,-27.946176,153.321948,right,not sensitive,1602,16240.5998,11947.64765,3.4726,-0.0164,0.095591851,-0.045,-0.1022,-0.017911883
PADSTOW,-33.94717,151.033992,high,sensitive,2175,20594.41841,15282.78243,3.5875,0.0279,0.161045591,0.008,-0.1147,-0.046517523
PAKENHAM BYPASS INBOUND,-38.0751,145.416439,right,not sensitive,2145,19438.59203,14765.63596,3.5829,0.0249,0.106823616,0.0022,-0.074,-0.079664699
PAKENHAM BYPASS OUTBOUND,-38.078613,145.399101,right,not sensitive,2335,22034.97823,16651.61005,3.7457,0.0296,0.081851449,0.0138,-0.0483,-0.092945446
PAKENHAM,-38.071011,145.477548,low,not sensitive,2288,22774.49826,16893.45561,3.7217,-0.1324,-0.080907158,-0.1463,-0.0561,-0.186148643
PALM BEACH,-28.10906,153.465463,right,not sensitive,1496,14424.43938,10701.77073,3.2565,0.0191,0.161744427,-0.008,-0.1228,0.001564881
PALMERSTON NT,-12.477827,130.983264,right,not sensitive,2819,29955.12654,22770.50311,4.2308,-0.1307,-0.101536975,-0.1469,-0.0325,-0.174513938
PARA HILLS,-34.800667,138.655073,high,not sensitive,1616,15557.09312,11346.15406,3.4096,0.0511,0.147022215,0.0307,-0.0836,-0.104792541
PARALOWIE,-34.760185,138.595107,high,sensitive,1798,18042.89574,13366.63443,3.7484,0.0894,0.303402363,0.0563,-0.1642,-0.009385924
PARK RIDGE,-27.695906,153.037794,high,sensitive,1688,17021.18498,12528.4145,3.4876,0.0359,0.157607106,0.0077,-0.1051,-0.016971171
PARKES,-33.141571,148.172037,right,sensitive,1639,16777.22279,12546.23318,3.5672,0.0421,0.149730221,0.0254,-0.0936,-0.047122496
PARKMORE SHOPPING CENTRE,-37.995008,145.172499,right,sensitive,632,6841.359572,5034.725924,3.0878,-0.0225,-0.003541587,-0.0327,-0.0191,-0.021548036
PARRAMATTA F/C W/F L5,-33.818587,151.00218,right,sensitive,573,7189.622144,5304.81292,3.0864,-0.0409,0.062563092,-0.0613,-0.0974,-0.235047129
PARRAMATTA NORTH,-33.810287,151.004079,right,sensitive,1699,17516.71056,13021.45266,3.558,-0.0541,0.070071099,-0.0704,-0.1161,-0.132990766
PARRAMATTA W/F L1,-33.818848,151.002138,low,not sensitive,663,7708.122092,5786.497992,2.8325,-0.0193,0.111755304,-0.0295,-0.1179,-0.284628378
PARRAMATTA W/F LEV 3,-33.818587,151.00218,right,sensitive,704,7224.24116,5392.596216,3.0722,0.0164,0.110381672,0.0054,-0.0846,-0.179776645
PASCOE VALE SOUTH,-37.740236,144.94742,right,sensitive,2073,18198.53746,13559.41372,3.6844,0.0408,0.090142595,0.0283,-0.0452,0.053881213
PENINSULA FAIR,-27.226068,153.087734,right,sensitive,405,5045.3228,3685.75722,2.8115,-0.023,0.097732297,-0.0474,-0.11,-0.098939929
PENRITH LEAGUES,-33.760807,150.683231,right,sensitive,2419,24651.347,18495.16273,3.5655,0.0967,0.227169805,0.0752,-0.1063,0.037087543
PENRITH NORTH,-33.745325,150.690807,right,not sensitive,1597,16057.28344,11923.37663,3.5623,0.0997,0.203358796,0.077,-0.0861,-0.008210963
PENRITH,-33.755526,150.707236,high,sensitive,2147,21223.43186,15842.78495,3.5504,0.0985,0.252258076,0.078,-0.1228,0.017930361
PENRITH PLAZA II,-33.753579,150.692919,right,sensitive,850,9409.951576,7016.437004,3.144,-0.0151,0.207929363,-0.0354,-0.1846,-0.103403511
PICTON,-34.167219,150.612241,right,sensitive,1527,14741.09938,10981.35834,3.5317,0.1129,0.223415424,0.0858,-0.0903,0.031194589
PITT & PARK STREET,-33.872943,151.208345,right,sensitive,1983,19107.98466,14188.09416,3.5166,-0.0046,0.142417907,-0.0283,-0.1287,-0.210330311
PLAZA,-33.875437,151.206639,right,sensitive,1689,16605.93829,12425.41188,3.5642,0.0116,0.219044681,-0.0066,-0.1702,-0.191568314
PLENTY VALLEY S/C,-37.652883,145.068006,right,sensitive,498,6206.614196,4553.306696,3.2203,-0.0938,0.010305049,-0.1168,-0.1031,-0.16977901
PLUMPTON,-33.74564,150.833643,right,sensitive,2077,23214.60116,17393.75761,3.5969,0.0041,0.112794311,-0.0138,-0.0976,-0.103946671
POINT COOK,-37.895944,144.751411,high,sensitive,2024,20084.14652,14843.00991,3.6726,0.0584,0.158594321,0.0423,-0.0865,0.014304792
POORAKA,-34.826057,138.616103,right,sensitive,1536,15054.4119,11123.17411,3.6425,-0.0588,0.040864,-0.0808,-0.0958,-0.127286066
PORT ADELAIDE,-34.85172,138.508715,high,sensitive,1937,18917.20672,13931.38707,3.711,0.1209,0.308628557,0.0921,-0.1435,-0.001946819
PORT AUGUSTA,-32.501151,137.776756,right,sensitive,1867,19253.05803,14265.6369,3.7291,0.1069,0.201812927,0.0832,-0.079,-0.025559635
PORT LINCOLN,-34.725196,135.861133,right,not sensitive,1477,14250.83961,10619.32343,3.6593,0.0566,0.13554844,0.0392,-0.0695,0.08570332
PORT MACQUARIE CBD,-31.42942,152.908406,right,sensitive,595,6908.621716,5153.74174,2.7288,-0.0356,0.086906988,-0.0525,-0.1127,-0.180995025
PORT MACQUARIE HIGHWAY,-31.463684,152.822592,high,sensitive,3448,33305.72913,25132.88697,3.5554,0.0966,0.18667655,0.0773,-0.0759,0.02221467
PORT MACQUARIE,-31.427847,152.896884,right,sensitive,2974,30484.30023,22817.98172,3.5248,0.0368,0.141745056,0.0171,-0.092,-0.021452514
PORT PIRIE,-33.18737,138.001494,right,not sensitive,1262,12623.92559,9319.823456,3.414,0.1005,0.199720691,0.0659,-0.0827,0.027997908
PORTLAND,-38.363471,141.608256,high,sensitive,1609,13770.9485,10310.4245,3.5277,0.121,0.115170312,0.1218,0.0053,0.208963482
PRAHRAN,-37.849731,145.001534,right,not sensitive,1770,15552.55792,11627.94113,3.7787,0.0129,0.138128802,-0.0096,-0.1101,-0.065261264
PRAIRIEWOOD FOODCOURT,-33.859208,150.898824,high,sensitive,419,5432.961044,4023.146864,2.8786,-0.0121,0.102945423,-0.0258,-0.1043,-0.284569138
PRAIRIEWOOD,-33.858437,150.896515,high,sensitive,1114,11280.39025,8368.674196,3.5304,0.076,0.227575667,0.0632,-0.1235,-0.021120066
PRESTON,-37.746155,144.996233,right,not sensitive,2780,24001.16284,17964.46228,3.7854,-0.0048,0.106362982,-0.0166,-0.1005,-0.04444224
PRESTONS,-33.955666,150.871995,low,not sensitive,1536,14398.30268,10747.4444,3.4794,-0.1715,-0.080899122,-0.1848,-0.0986,-0.170974205
PUNCHBOWL,-33.9306,151.065802,high,sensitive,2211,22198.91393,16423.81483,3.7183,0.0391,0.181310691,0.0202,-0.1204,-0.011290878
QUAKERS HILL,-33.730003,150.903094,right,sensitive,1317,12345.50783,9105.45964,3.5254,0.1025,0.207491757,0.0826,-0.087,0.092487009
QUEANBEYAN,-35.349583,149.241557,right,sensitive,2849,25802.87127,19231.48807,3.7637,0.0497,0.120418957,0.0312,-0.0632,0.033015467
RANDWICK,-33.916217,151.239085,right,sensitive,354,3412.551904,2517.448124,3.0047,-0.0372,0.056304355,-0.0568,-0.0885,-0.178615702
RAYMOND TERRACE,-32.760969,151.749823,right,sensitive,2367,23510.19188,17397.87865,3.4923,0.0087,0.117341555,-0.0102,-0.0973,-0.036347939
REDBANK PLAZA,-27.605557,152.867757,low,not sensitive,612,7104.54676,5231.530412,3.3269,-0.0078,0.154161634,-0.0354,-0.1404,-0.068736916
REDCLIFFE,-27.229617,153.108205,right,sensitive,1967,20413.36878,15150.75319,3.3271,-0.0222,0.08286363,-0.0419,-0.097,-0.044596424
REDLYNCH,-16.894834,145.699674,right,sensitive,1009,11087.62192,8249.242944,3.3554,0.098,0.279920223,0.0707,-0.1422,-0.020704385
REEDY CREEK,-28.093231,153.391067,right,not sensitive,2250,20914.38984,15653.83572,3.3342,0.0516,0.114640081,0.0302,-0.0565,-0.005068917
RENMARK,-34.183066,140.735865,right,sensitive,1770,18562.30103,13808.00267,3.8328,0.0628,0.132201217,0.0367,-0.0613,-0.055666234
REVESBY,-33.938794,151.018255,right,insufficient,2275,21729.94503,16180.29953,3.6516,-0.0572,0.065864275,-0.0798,-0.1154,-0.135512007
REYNELLA,-35.106922,138.525153,right,not sensitive,1756,17182.70616,12716.77577,3.5339,-0.0743,0.040898313,-0.0997,-0.1107,-0.149101336
RICHLANDS,-27.598751,152.959407,high,sensitive,1730,17822.03465,13034.18326,3.3872,0.1201,0.274237629,0.0885,-0.121,0.08999353
RICHMOND,-33.59935,150.752625,low,not sensitive,2800,27130.79311,20434.3004,3.6951,0.0251,0.073836398,0.0085,-0.0453,-0.018962076
RICHMOND,-37.819499,144.998319,right,not sensitive,1050,9361.107312,7019.268864,3.6462,0.0117,0.114459628,-0.0038,-0.0922,-0.051534006
RINGWOOD,-37.816705,145.220104,high,sensitive,1698,15470.67512,11558.26754,3.7385,0.0682,0.133328105,0.0515,-0.0575,0.066932003
RIVERTON,-32.039783,115.908184,right,not sensitive,1488,16110.99124,12083.47597,3.873,0.0251,0.098175891,0.0085,-0.0665,-0.025522328
ROBINA CENTRAL,-28.081028,153.386044,right,sensitive,2404,21983.08425,16303.57032,3.3146,0.0439,0.164950237,0.0187,-0.1039,0.047554091
ROBINA FC II,-28.078792,153.386039,high,sensitive,1013,9862.30008,7182.921196,2.8513,0.0549,0.181502261,0.0272,-0.1072,0.047547868
ROCKBANK OUTBOUND,-37.738903,144.679937,right,not sensitive,1874,15963.14492,12025.85638,3.814,0.1186,0.148213129,0.1028,-0.0257,0.136830762
ROCKDALE,-33.956958,151.13745,right,not sensitive,2482,24232.62357,18008.16168,3.6591,0.0145,0.171036771,-0.0018,-0.1337,-0.090566246
ROCKDALE PLAZA,-33.957893,151.144583,low,not sensitive,372,4432.663136,3246.760756,2.9509,-0.0282,0.117188935,-0.053,-0.1301,-0.210241033
ROCKHAMPTON NORTH,-23.356457,150.523398,high,sensitive,1392,15432.64716,11355.449,3.3231,0.1914,0.402613597,0.1471,-0.1506,0.051490431
ROCKHAMPTON,-23.380307,150.504786,high,sensitive,2234,22950.19988,17190.82317,3.373,0.2696,0.386327882,0.2381,-0.0842,0.182984735
ROCKHAMPTON STOCKLAND FC,-23.354601,150.52243,right,sensitive,378,4783.950252,3497.98616,3.0374,0,0,0,0,0
ROCKINGHAM,-32.288276,115.740688,low,not sensitive,1830,19605.5005,14662.67092,3.7846,0.0762,0.201681265,0.0528,-0.1044,-0.019613924
ROCKLEA,-27.557689,153.017626,right,not sensitive,1600,15663.2929,11716.40206,3.5847,0,0,0,0,0
ROMA,-26.574162,148.788397,right,not sensitive,1533,17103.79509,12914.21805,3.8957,-0.1407,-0.053888452,-0.1627,-0.0918,-0.177963314
ROSEBUD,-38.358797,144.897062,right,sensitive,3132,30721.56888,22674.54352,3.5311,0.0227,0.114561045,0.001,-0.0824,-0.07887712
ROSEHILL,-33.820968,151.02062,right,sensitive,1639,15326.86238,11362.95267,3.5509,0.008,0.170688254,-0.0115,-0.139,-0.046051751
ROSELANDS SHOPPING CENTRE,-33.936835,151.067291,right,sensitive,551,6254.353688,4564.386648,3.0327,-0.012,0.092370475,-0.0317,-0.0955,-0.099527334
ROSEMEADOW,-34.100585,150.798146,right,sensitive,1812,18306.05608,13530.0811,3.4676,0.0715,0.227621914,0.0548,-0.1272,-0.000698234
ROSNY PARK TAS,-42.866642,147.368505,right,not sensitive,2429,23596.36178,17471.16823,3.6943,0.0019,0.044923081,-0.015,-0.0412,-0.068003866
ROUSE HILL,-33.68485,150.917997,insufficient,sensitive,1521,14857.1578,11140.80038,3.6345,0.1068,0.18509698,0.0889,-0.0661,0.06590832
ROUSE HILL TOWN CENTRE,-33.689052,150.926572,right,sensitive,507,5660.311168,4148.162444,2.9232,0.0372,0.156126872,0.0122,-0.1029,-0.064962062
ROWVILLE,-37.918663,145.234112,right,not sensitive,2136,18815.29908,14024.75802,3.7897,-0.028,0.004270186,-0.0432,-0.0322,0.002826418
ROXBURGH PARK,-37.641253,144.928874,insufficient,not sensitive,2835,24498.7307,18270.30671,3.807,-0.0163,0.043914566,-0.0253,-0.0577,0.068728083
ROYAL CHILDRENS HOSPITAL II,-37.796348,144.947987,insufficient,insufficient,600,6435.9348,4768.984096,3.5591,-0.027,-0.031145095,-0.0449,0.0043,-0.108103526
RUNAWAY BAY S/C,-27.913978,153.400308,right,not sensitive,469,5367.492652,3973.464656,2.9863,-0.0502,0.003639376,-0.0723,-0.0537,-0.090022506
RUNDLE MALL EAST,-34.924281,138.603712,right,not sensitive,656,6269.498496,4723.570772,3.3656,-0.005,0.060455378,-0.0073,-0.0618,-0.140846779
RUTHERFORD,-32.711776,151.515623,right,sensitive,2548,23531.32599,17666.23185,3.6763,-0.0865,0.007727391,-0.1065,-0.0935,-0.129181738
SALAMANDER BAY,-32.736828,152.108644,high,sensitive,2102,21013.18835,15564.05519,3.3735,0.1062,0.266224873,0.0782,-0.1264,0.088896697
SALE,-38.108803,147.06688,right,sensitive,2507,25152.38723,18744.95247,3.6064,0.0683,0.177713551,0.0413,-0.0929,-0.034060104
SALISBURY,-27.545742,153.03947,right,sensitive,1345,11452.30972,8553.924792,3.6035,0.0808,0.13702521,0.06,-0.0495,0.200118601
SALISBURY,-34.766453,138.644577,right,not sensitive,1660,17334.39221,12759.07172,3.5825,-0.0085,0.16508628,-0.0358,-0.149,-0.118729831
SANDY BAY TAS,-42.896316,147.329013,right,not sensitive,850,7957.505484,5892.908968,3.8311,-0.0329,0.030062903,-0.0463,-0.0611,-0.050581033
SANS SOUCI,-33.99316,151.13116,right,sensitive,1763,16169.78132,12055.92768,3.4943,0.0375,0.141877402,0.0235,-0.0914,-0.074564951
SCONE,-32.040702,150.86555,right,not sensitive,1492,15292.39789,11450.43606,3.8486,0.008,0.049305844,-0.0094,-0.0394,-0.110562833
SEAFORD,-35.187483,138.476751,high,sensitive,1259,12487.02173,9232.075948,3.4372,0.0759,0.215728119,0.0559,-0.115,0.002939191
SEBASTOPOL,-37.586299,143.839195,right,sensitive,2478,24151.00701,17911.562,3.6362,0.0093,0.055278445,-0.0069,-0.0436,-0.065322522
SEC,-33.878656,151.203131,right,not sensitive,791,9144.513856,6859.196476,3.1789,0.0599,0.163365681,0.0404,-0.089,-0.101450868
SEVEN HILLS CENTRE,-33.774889,150.932946,right,sensitive,389,4038.978072,2999.075404,3.1692,0.0604,0.12191649,0.0368,-0.0548,-0.045310482
SEVEN HILLS NORTH,-33.767254,150.952549,low,not sensitive,2030,18882.16492,14061.45264,3.7664,0.069,0.108769729,0.0522,-0.0359,-0.014875632
SEYMOUR,-37.021535,145.127112,right,sensitive,1770,16517.97926,12361.66321,3.7018,0.1046,0.198489365,0.0797,-0.0783,0.074124332
SHELLHARBOUR STOCKLAND F/C,-34.564103,150.839185,low,not sensitive,678,8014.249464,5872.466236,3.1469,-0.0495,0.041733198,-0.0757,-0.0876,-0.102001687
SHEPPARTON CITY,-36.384703,145.398983,right,sensitive,425,4131.657676,3085.336436,3.3541,-0.0132,0.130759088,-0.0299,-0.1273,-0.060474508
SHEPPARTON NORTH,-36.357477,145.405535,right,sensitive,2098,21194.44114,15834.60432,3.7443,0.0179,0.157719827,-0.0038,-0.1208,-0.004249854
SHEPPARTON,-36.401256,145.394203,right,sensitive,1800,17589.0736,13173.06026,3.7507,0.0282,0.133481297,0.0128,-0.0929,-0.015315212
SINGLETON,-32.558338,151.176294,low,not sensitive,2381,22174.86729,16668.12421,3.6465,0.065,0.121319047,0.047,-0.0503,0.008941499
SKYE,-38.10762,145.232417,high,insufficient,1560,12734.39878,9379.250448,3.4558,-0.0548,0.027965445,-0.0742,-0.0805,-0.102953563
SMITHFIELD II,-16.839743,145.693843,right,not sensitive,2144,21669.10774,16313.25449,3.4379,0.0657,0.21903594,0.0404,-0.1258,-0.016052193
SMITHFIELD,-33.852029,150.942182,high,sensitive,1280,11423.26584,8496.482032,3.7252,0.1273,0.29408512,0.1181,-0.1289,0.116143777
SMITHFIELD,-34.687993,138.689262,high,sensitive,1725,17586.13009,12889.84882,3.5949,-0.0744,0.081697179,-0.1002,-0.1443,-0.138106765
SOMERVILLE,-38.226817,145.178545,right,sensitive,1174,10915.39593,8012.715636,3.4344,-0.0286,0.064344132,-0.0484,-0.0873,-0.091553567
SORELL TAS,-42.783434,147.563859,right,sensitive,1335,13293.80387,9837.495384,3.5681,0.0424,0.123243259,0.0155,-0.0719,-0.040714139
SOUTH HEDLAND,-20.4101,118.598872,right,not sensitive,2459,25782.8318,20016.71736,4.8038,-0.0637,-0.047278486,-0.0763,-0.0172,-0.044880066
SOUTH LAUNCESTON TAS,-41.450665,147.139134,right,not sensitive,3261,30146.57488,22108.00585,3.6334,0.0668,0.097685023,0.0526,-0.0281,0.027774161
SOUTH MELBOURNE,-37.829171,144.957147,low,not sensitive,3118,26849.80681,19807.12098,3.763,0.102,0.199885985,0.0859,-0.0816,0.018293632
SOUTH OAKLEIGH,-37.924551,145.08137,right,sensitive,1378,12846.59964,9506.036908,3.4835,-0.025,0.137145846,-0.0504,-0.1426,-0.104275579
SOUTH PERTH,-31.974819,115.883249,high,sensitive,2043,20406.43358,15259.54901,3.7302,0.0029,0.101711317,-0.0203,-0.0897,-0.040514026
SOUTHLAND F/C,-37.958448,145.054137,right,sensitive,418,5275.861636,3889.980136,3.204,-0.1212,-0.107347478,-0.1355,-0.0155,-0.117606602
SOUTHLAND,-37.958121,145.055143,high,sensitive,759,7908.26464,5899.915708,3.1023,-0.1032,-0.098910231,-0.1239,-0.0048,-0.128219396
SOUTHPORT II,-27.977015,153.411503,right,not sensitive,1413,14837.70902,11015.05167,3.3964,-0.1198,-0.004967351,-0.1392,-0.1154,-0.174672991
SPEARWOOD,-32.097536,115.783284,high,sensitive,1323,13763.57208,10343.00094,3.7804,0.047,0.157714751,0.03,-0.0956,-0.019212096
SPRINGFIELD LAKES,-27.668905,152.916337,high,sensitive,1743,18600.06344,13743.06288,3.4699,0.1047,0.25708942,0.0747,-0.1212,0.053309949
SPRINGFIELD ORION F/C,-27.676443,152.902651,right,sensitive,298,3881.382952,2877.305496,3.0475,0.0271,0.183135586,-0.0021,-0.1319,-0.151376845
SPRINGVALE II,-37.963716,145.149065,high,sensitive,1638,16353.21087,12011.6762,3.5435,-0.0812,0.021760443,-0.1011,-0.1007,-0.209613125
